Airline.Status,Age,Gender,Price.Sensitivity,Flights.Per.Year,Loyalty,Type.of.Travel,Eating.and.Drinking.at.Airport,Class,Partner.Code,Origin.State,Destination.State,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Customer.Type
Blue,Middle_Aged,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco Plus,EV,Minnesota,Texas,Short_Delay,No,Short_Flights,Detractor
Blue,Middle_Aged,Male,0,Non_Frq_Fly,Positive,Business travel,151orMore,Eco,WN,Illinois,Rhode Island,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,1,Frq_Fly,Negative,Personal Travel,151orMore,Eco,AA,Texas,Illinois,Short_Delay,No,Short_Flights,Detractor
Silver,Old,Male,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,MQ,Florida,Kentucky,Short_Delay,No,Short_Flights,Passive
Gold,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,151orMore,Eco,EV,Ohio,Colorado,Short_Delay,No,Short_Flights,Detractor
Gold,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,OO,Montana,Utah,Short_Delay,No,Long_Flights,Detractor
Silver,Old,Female,3,Non_Frq_Fly,Positive,Business travel,50orLess,Eco Plus,US,Ohio,North Carolina,Short_Delay,No,Long_Flights,Passive
Silver,Old,Female,0,Non_Frq_Fly,Positive,Business travel,151orMore,Eco,DL,Georgia,Arkansas,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,2,Frq_Fly,Negative,Mileage tickets,151orMore,Eco,DL,Georgia,New Mexico,Short_Delay,No,Short_Flights,Passive
Gold,Old,Female,1,Frq_Fly,Positive,Mileage tickets,50orLess,Eco,US,Pennsylvania,Georgia,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,OO,Arizona,California,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Wisconsin,Massachusetts,Short_Delay,No,Short_Flights,Detractor
Silver,Old,Male,1,Frq_Fly,Positive,Business travel,151orMore,Eco,OU,Texas,Colorado,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Male,1,Frq_Fly,Negative,Business travel,50orLess,Eco,FL,Georgia,Nevada,Short_Delay,No,Long_Flights,Promoter
Silver,Old,Female,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,DL,Georgia,Florida,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,1,Frq_Fly,Positive,Business travel,151orMore,Eco,WN,Maryland,New York,Short_Delay,No,Long_Flights,Promoter
Gold,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,151orMore,Eco,DL,California,Michigan,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,1,Non_Frq_Fly,Negative,Mileage tickets,151orMore,Eco,OU,California,Nevada,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,DL,New York,Florida,Short_Delay,Yes,Long_Flights,Detractor
Blue,Old,Male,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,DL,Minnesota,New York,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Male,2,Frq_Fly,Negative,Business travel,50orLess,Eco,EV,Illinois,Wisconsin,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,1,Frq_Fly,Negative,Mileage tickets,50orLess,Eco,WN,Texas,Texas,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,US,Pennsylvania,Massachusetts,Short_Delay,No,Long_Flights,Detractor
Silver,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,DL,California,Minnesota,Short_Delay,No,Short_Flights,Promoter
Silver,Old,Male,2,Non_Frq_Fly,Negative,Business travel,151orMore,Eco,DL,Utah,Washington,Short_Delay,No,Short_Flights,Passive
Silver,Old,Female,1,Non_Frq_Fly,Positive,Personal Travel,50orLess,Eco,WN,California,California,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,AA,California,Florida,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,AA,New York,Nevada,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,1,Non_Frq_Fly,Negative,Personal Travel,151orMore,Eco,DL,California,Tennessee,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Female,1,Frq_Fly,Positive,Personal Travel,151orMore,Eco,AA,Massachusetts,Florida,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,DL,Minnesota,California,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Negative,Business travel,151orMore,Eco,OU,Colorado,Arizona,Short_Delay,No,Long_Flights,Promoter
