"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"1","Houston, TX","Minneapolis, MN","Blue",66,"Female",1,2009,15,-0.3043,"Business travel",0,5,10,"Eco Plus",29,"3/29/14","EV","FlyFast Airways Inc.","Minnesota","Texas",11,0,0,"No",142,1034,5,-93.2798,44.9782,-95.3935,29.7843,NA
"2","Providence, RI","Chicago, IL","Blue",47,"Male",0,2007,1,0.7778,"Business travel",2,0,60,"Eco",7,"1/7/14","WN","Cheapseats Airlines Inc.","Illinois","Rhode Island",20,33,21,"No",93,842,10,-87.8954,41.8271,-71.3974,41.7763,NA
"3","Chicago, IL","Austin, TX","Blue",80,"Male",1,2010,36,-0.7143,"Personal Travel",0,0,60,"Eco",3,"1/3/14","AA","Paul Smith Airlines Inc.","Texas","Illinois",16,0,0,"No",129,978,6,-97.7615,30.3585,-87.8954,41.8271,NA
"4","Cincinnati, OH","Miami, FL","Silver",35,"Male",2,2005,21,-0.5,"Business travel",0,186,10,"Eco",7,"2/7/14","MQ","EnjoyFlying Air Services","Florida","Kentucky",21,46,28,"No",126,948,8,-80.2314,26.1756,-84.462,39.1855,NA
"5","Denver, CO","Cleveland, OH","Gold",63,"Female",1,2011,18,-0.5,"Personal Travel",0,25,90,"Eco",10,"2/10/14","EV","FlyFast Airways Inc.","Ohio","Colorado",16,0,0,"No",192,1201,6,-81.6054,41.4436,-104.9551,39.7108,NA
"6","Salt Lake City, UT","Missoula, MT","Gold",44,"Male",1,2008,10,-0.5385,"Business travel",0,0,30,"Eco",14,"2/14/14","OO","Northwest Business Airlines Inc.","Montana","Utah",7,0,0,"No",61,436,6,-114.0342,46.874,-111.9295,40.6408,NA
"7","Charlotte, NC","Cleveland, OH","Silver",32,"Female",3,2003,13,0.2778,"Business travel",1,30,0,"Eco Plus",12,"3/12/14","US","Southeast Airlines Co.","Ohio","North Carolina",15,359,379,"No",71,430,8,-81.6054,41.4436,-80.8158,35.2497,NA
"8","Little Rock, AR","Atlanta, GA","Silver",40,"Female",0,2007,0,1,"Business travel",1,70,80,"Eco",24,"1/24/14","DL","Sigma Airlines Inc.","Georgia","Arkansas",12,0,0,"No",77,453,9,-84.3319,33.8241,-92.3212,34.7566,NA
"9","Albuquerque, NM","Atlanta, GA","Blue",80,"Female",2,2012,43,-0.9545,"Mileage tickets",0,0,90,"Eco",10,"3/10/14","DL","Sigma Airlines Inc.","Georgia","New Mexico",19,19,0,"No",162,1269,8,-84.3319,33.8241,-106.6281,35.1434,NA
"10","Atlanta, GA","Philadelphia, PA","Gold",33,"Female",1,2003,9,0.4375,"Mileage tickets",2,103,140,"Eco",19,"2/19/14","US","Southeast Airlines Co.","Pennsylvania","Georgia",16,0,19,"No",104,666,8,-75.2984,39.9733,-84.3319,33.8241,NA
"11","Los Angeles, CA","Yuma, AZ","Blue",79,"Female",1,2005,23,-0.7692,"Personal Travel",0,0,135,"Eco",31,"1/31/14","OO","Northwest Business Airlines Inc.","Arizona","California",15,0,13,"No",73,237,4,-114.5683,32.6772,-118.1043,33.9827,NA
"12","Boston, MA","Milwaukee, WI","Blue",30,"Female",1,2006,17,-0.4783,"Business travel",3,5,20,"Eco",30,"1/30/14","WN","Cheapseats Airlines Inc.","Wisconsin","Massachusetts",10,5,1,"No",101,860,6,-88.1005,43.0557,-71.1407,42.3731,NA
"13","Denver, CO","Houston, TX","Silver",50,"Male",1,2003,8,0.6,"Business travel",4,0,90,"Eco",14,"3/14/14","OU","Oursin Airlines Inc.","Texas","Colorado",5,0,0,"No",114,862,9,-95.3935,29.7843,-104.9551,39.7108,NA
"14","Las Vegas, NV","Atlanta, GA","Blue",52,"Male",1,2005,31,-0.55,"Business travel",0,0,150,"Eco",14,"2/14/14","FL","FlyHere Airways","Georgia","Nevada",8,0,17,"No",268,1747,9,-84.3319,33.8241,-115.1672,36.1349,NA
"15","Panama City, FL","Atlanta, GA","Silver",37,"Female",1,2003,0,1,"Business travel",3,0,125,"Eco",22,"3/22/14","DL","Sigma Airlines Inc.","Georgia","Florida",10,0,0,"No",40,240,9,-84.3319,33.8241,-85.6773,30.1941,NA
"16","Buffalo, NY","Baltimore, MD","Blue",39,"Male",1,2009,8,0.2,"Business travel",4,60,90,"Eco",22,"3/22/14","WN","Cheapseats Airlines Inc.","Maryland","New York",11,0,0,"No",51,281,9,-76.6478,39.2341,-78.8237,42.9249,NA
"17","Detroit, MI","San Francisco, CA","Gold",40,"Female",1,2009,23,-0.122,"Personal Travel",2,0,75,"Eco",11,"2/11/14","DL","Sigma Airlines Inc.","California","Michigan",7,0,0,"No",243,2079,4,-122.1585,37.6712,-83.2276,42.49,NA
"18","Las Vegas, NV","San Francisco, CA","Blue",38,"Male",1,2008,17,-0.4783,"Mileage tickets",2,0,70,"Eco",15,"1/15/14","OU","Oursin Airlines Inc.","California","Nevada",13,0,5,"No",71,414,9,-122.1585,37.6712,-115.1672,36.1349,NA
"19","Orlando, FL","New York, NY","Blue",61,"Female",1,2003,24,-0.92,"Personal Travel",0,15,120,"Eco",13,"2/13/14","DL","Sigma Airlines Inc.","New York","Florida",19,NA,NA,"Yes",NA,950,3,-73.9702,40.7184,-81.4112,28.5844,NA
"20","New York, NY","Minneapolis, MN","Blue",55,"Male",1,2011,64,-0.7297,"Personal Travel",0,0,0,"Eco",26,"2/26/14","DL","Sigma Airlines Inc.","Minnesota","New York",15,33,27,"No",118,1020,3,-93.2798,44.9782,-73.9702,40.7184,NA
"21","Madison, WI","Chicago, IL","Blue",23,"Male",2,2003,28,-0.8667,"Business travel",0,0,160,"Eco",19,"2/19/14","EV","FlyFast Airways Inc.","Illinois","Wisconsin",13,8,13,"No",48,108,5,-87.8954,41.8271,-89.4299,43.0874,NA
"22","Houston, TX","Corpus Christi, TX","Blue",48,"Male",1,2003,8,-0.4545,"Mileage tickets",1,0,15,"Eco",14,"1/14/14","WN","Cheapseats Airlines Inc.","Texas","Texas",18,1,5,"No",34,187,6,-97.4126,27.7453,-95.3935,29.7843,NA
"23","Boston, MA","Philadelphia, PA","Blue",74,"Female",1,2007,17,-0.5455,"Personal Travel",0,0,30,"Eco",25,"3/25/14","US","Southeast Airlines Co.","Pennsylvania","Massachusetts",15,0,0,"No",42,280,4,-75.2984,39.9733,-71.1407,42.3731,NA
"24","Minneapolis, MN","Los Angeles, CA","Silver",36,"Male",1,2004,25,-0.1628,"Business travel",1,140,130,"Eco",20,"3/20/14","DL","Sigma Airlines Inc.","California","Minnesota",18,0,0,"No",175,1535,9,-118.1043,33.9827,-93.2798,44.9782,NA
"25","Seattle, WA","Salt Lake City, UT","Silver",29,"Male",2,2003,11,-0.4667,"Business travel",0,75,60,"Eco",3,"1/3/14","DL","Sigma Airlines Inc.","Utah","Washington",11,11,18,"No",113,689,7,-111.9295,40.6408,-122.2747,47.4684,NA
