Destination.City,Origin.City,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,Flights.Per.Year,Loyalty,Type.of.Travel,Total.Freq.Flyer.Accts,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Partner.Code,Partner.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Likelihood.to.recommend,olong,olat,dlong,dlat
Houston,Minneapolis,Blue,66,Female,1,2009,15,-0.3043,Business travel,0,5,10,Eco Plus,29,3/29/14,EV,FlyFast Airways Inc.,Minnesota,Texas,11,0,0,No,142,1034,5,-93.2798,44.9782,-95.3935,29.7843
Providence,Chicago,Blue,47,Male,0,2007,1,0.7778,Business travel,2,0,60,Eco,7,01-07-14,WN,Cheapseats Airlines Inc.,Illinois,Rhode Island,20,33,21,No,93,842,10,-87.8954,41.8271,-71.3974,41.7763
Chicago,Austin,Blue,80,Male,1,2010,36,-0.7143,Personal Travel,0,0,60,Eco,3,01-03-14,AA,Paul Smith Airlines Inc.,Texas,Illinois,16,0,0,No,129,978,6,-97.7615,30.3585,-87.8954,41.8271
Cincinnati,Miami,Silver,35,Male,2,2005,21,-0.5,Business travel,0,186,10,Eco,7,02-07-14,MQ,EnjoyFlying Air Services,Florida,Kentucky,21,46,28,No,126,948,8,-80.2314,26.1756,-84.462,39.1855
Denver,Cleveland,Gold,63,Female,1,2011,18,-0.5,Personal Travel,0,25,90,Eco,10,02-10-14,EV,FlyFast Airways Inc.,Ohio,Colorado,16,0,0,No,192,1201,6,-81.6054,41.4436,-104.9551,39.7108
Salt Lake City,Missoula,Gold,44,Male,1,2008,10,-0.5385,Business travel,0,0,30,Eco,14,2/14/14,OO,Northwest Business Airlines Inc.,Montana,Utah,7,0,0,No,61,436,6,-114.0342,46.874,-111.9295,40.6408
Charlotte,Cleveland,Silver,32,Female,3,2003,13,0.2778,Business travel,1,30,0,Eco Plus,12,03-12-14,US,Southeast Airlines Co.,Ohio,North Carolina,15,359,379,No,71,430,8,-81.6054,41.4436,-80.8158,35.2497
Little Rock,Atlanta,Silver,40,Female,0,2007,0,1,Business travel,1,70,80,Eco,24,1/24/14,DL,Sigma Airlines Inc.,Georgia,Arkansas,12,0,0,No,77,453,9,-84.3319,33.8241,-92.3212,34.7566
Albuquerque,Atlanta,Blue,80,Female,2,2012,43,-0.9545,Mileage tickets,0,0,90,Eco,10,03-10-14,DL,Sigma Airlines Inc.,Georgia,New Mexico,19,19,0,No,162,1269,8,-84.3319,33.8241,-106.6281,35.1434
Atlanta,Philadelphia,Gold,33,Female,1,2003,9,0.4375,Mileage tickets,2,103,140,Eco,19,2/19/14,US,Southeast Airlines Co.,Pennsylvania,Georgia,16,0,19,No,104,666,8,-75.2984,39.9733,-84.3319,33.8241
Los Angeles,Yuma,Blue,79,Female,1,2005,23,-0.7692,Personal Travel,0,0,135,Eco,31,1/31/14,OO,Northwest Business Airlines Inc.,Arizona,California,15,0,13,No,73,237,4,-114.5683,32.6772,-118.1043,33.9827
Boston,Milwaukee,Blue,30,Female,1,2006,17,-0.4783,Business travel,3,5,20,Eco,30,1/30/14,WN,Cheapseats Airlines Inc.,Wisconsin,Massachusetts,10,5,1,No,101,860,6,-88.1005,43.0557,-71.1407,42.3731
Denver,Houston,Silver,50,Male,1,2003,8,0.6,Business travel,4,0,90,Eco,14,3/14/14,OU,Oursin Airlines Inc.,Texas,Colorado,5,0,0,No,114,862,9,-95.3935,29.7843,-104.9551,39.7108
Las Vegas,Atlanta,Blue,52,Male,1,2005,31,-0.55,Business travel,0,0,150,Eco,14,2/14/14,FL,FlyHere Airways,Georgia,Nevada,8,0,17,No,268,1747,9,-84.3319,33.8241,-115.1672,36.1349
Panama City,Atlanta,Silver,37,Female,1,2003,0,1,Business travel,3,0,125,Eco,22,3/22/14,DL,Sigma Airlines Inc.,Georgia,Florida,10,0,0,No,40,240,9,-84.3319,33.8241,-85.6773,30.1941
Buffalo,Baltimore,Blue,39,Male,1,2009,8,0.2,Business travel,4,60,90,Eco,22,3/22/14,WN,Cheapseats Airlines Inc.,Maryland,New York,11,0,0,No,51,281,9,-76.6478,39.2341,-78.8237,42.9249
Detroit,San Francisco,Gold,40,Female,1,2009,23,-0.122,Personal Travel,2,0,75,Eco,11,02-11-14,DL,Sigma Airlines Inc.,California,Michigan,7,0,0,No,243,2079,4,-122.1585,37.6712,-83.2276,42.49
